tiempo_t,anio,trimestre,variable,modelo,prediccion,lim_inf_80,lim_sup_80,lim_inf_95,lim_sup_95
2029.75,2029,IV,pobreza_hombres,Holt-Winters,7.620034024349876,4.66292396618692,10.577144082512833,3.091959247787849,12.148108800911903
2030.0,2030,I,pobreza_hombres,Holt-Winters,6.836653935705335,3.806517818153361,9.866790053257308,2.1967580057038756,11.476549865706794
2030.25,2030,II,pobreza_hombres,Holt-Winters,6.994265505053531,3.892822311039271,10.09570869906779,2.245180614219195,11.743350395887866
2030.5,2030,III,pobreza_hombres,Holt-Winters,7.516173060963876,4.345025811071213,10.687320310856538,2.6603538345657363,12.371992287362016
2030.75,2030,IV,pobreza_hombres,Holt-Winters,7.209965002060187,3.9706132342976574,10.449316769822717,2.2497076076738143,12.17022239644656
2031.0,2031,I,pobreza_hombres,Holt-Winters,6.426584913415645,3.1204353599152816,9.732734466916009,1.3640434096182137,11.489126417213077
2031.25,2031,II,pobreza_hombres,Holt-Winters,6.584196482763843,3.2125722651329576,9.955820700394728,1.4213968995165498,11.746996066011135
2031.5,2031,III,pobreza_hombres,Holt-Winters,7.106104038674188,3.670252636223915,10.541955441124461,1.8449565786722077,12.367251498676168
2031.75,2031,IV,pobreza_hombres,Holt-Winters,6.799895979770499,3.3009961734708195,10.298795786070178,1.442205651374115,12.157586308166882
2032.0,2032,I,pobreza_hombres,Holt-Winters,6.016515891125956,2.4556838465992334,9.577347935652679,0.5639918229444127,11.4690399593075
2032.25,2032,II,pobreza_hombres,Holt-Winters,6.174127460474153,2.552422082598589,9.795832838349718,0.6283911006021956,11.719863820346111
2032.5,2032,III,pobreza_hombres,Holt-Winters,6.696035016384498,3.014462683951356,10.37760734881764,1.0586273823462493,12.333442650422747
2032.75,2032,IV,pobreza_hombres,Holt-Winters,6.38982695748081,2.6493457272456364,10.130308187715984,0.6622150736832007,12.117438841278421
2033.0,2033,I,pobreza_hombres,Holt-Winters,5.606446868836268,1.8079702230549537,9.404923514617582,-0.20997049501636944,11.422864232688905
2033.25,2033,II,pobreza_hombres,Holt-Winters,5.764058438184464,1.908458637459486,9.619658238909443,-0.13982875667565864,11.667945633044587
2033.5,2033,III,pobreza_hombres,Holt-Winters,6.285965994094809,2.374077087421344,10.197854900768274,0.2958861057510669,12.276045882438552
2033.75,2033,IV,pobreza_hombres,Holt-Winters,5.979757935191121,2.012378470990685,9.947137399391558,-0.0952918693657967,12.054807739748039
2034.0,2034,I,pobreza_hombres,Holt-Winters,5.1963778465465795,1.174273321827739,9.21848237126542,-0.9624697069291441,11.355225400022302
2034.25,2034,II,pobreza_hombres,Holt-Winters,5.353989415894776,1.2778944951933218,9.43008433659623,-0.8875309314293256,11.595509763218878
2034.5,2034,III,pobreza_hombres,Holt-Winters,5.875896971805121,1.746517503002015,10.005276440608228,-0.44721533979963457,12.199009283409875
2034.75,2034,IV,pobreza_hombres,Holt-Winters,5.569688912901432,1.3877037632174867,9.751674062585376,-0.8339758475521091,11.973353673354973
2025.0,2025,I,pobreza_hombres,SARIMA,8.890570816895996,8.200985029500748,9.580156604291245,7.8346425799470225,9.94649905384497
2025.25,2025,II,pobreza_hombres,SARIMA,9.043918842831959,8.068697269877868,10.01914041578605,7.550610809246008,10.53722687641791
2025.5,2025,III,pobreza_hombres,SARIMA,9.532666251038414,8.338268631092454,10.727063870984374,7.703744895496163,11.361587606580665
2025.75,2025,IV,pobreza_hombres,SARIMA,9.287433103975054,7.908261529184557,10.666604678765552,7.175576630077106,11.399289577873002
2026.0,2026,I,pobreza_hombres,SARIMA,8.49955636475913,6.957595667825636,10.041517061692623,6.138429047579718,10.860683681938541
2026.25,2026,II,pobreza_hombres,SARIMA,8.669281328994211,6.98014801600049,10.358414641987933,6.082795943472574,11.255766714515849
2026.5,2026,III,pobreza_hombres,SARIMA,9.149213144316962,7.324740643224475,10.973685645409448,6.355489627019091,11.942936661614832
2026.75,2026,IV,pobreza_hombres,SARIMA,8.91598426542367,6.965541119515491,10.86642741133185,5.92936819825177,11.902600332595572
2027.0,2027,I,pobreza_hombres,SARIMA,8.118545218556585,6.04978785637084,10.18730258074233,4.9507605077096635,11.286329929403507
2027.25,2027,II,pobreza_hombres,SARIMA,8.283117249848646,6.1024555195990295,10.463778980098262,4.943978975403922,11.622255524293369
2027.5,2027,III,pobreza_hombres,SARIMA,8.769151946294464,6.482054628742635,11.056249263846293,5.267034178793226,12.271269713795702
2027.75,2027,IV,pobreza_hombres,SARIMA,8.530512589698718,6.1417173498067985,10.919307829590638,4.872669878614216,12.18835530078322
2028.0,2028,I,pobreza_hombres,SARIMA,7.735632264639324,5.249295349354547,10.2219691799241,3.928428863109509,11.542835666169138
